113 Cause Name,Cause Name,State,Year,Age-adjusted Death Rate,Deaths,Number of Records
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,New Jersey,1999,26.2,2227,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,New Mexico,1999,55.9,969,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,New York,1999,25.2,4797,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,North Carolina,1999,42.1,3290,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,North Dakota,1999,38.4,267,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Ohio,1999,31.8,3630,1
All Causes,All Causes,Colorado,2003,792,29506,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Oklahoma,1999,46.3,1609,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Oregon,1999,34.7,1199,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Pennsylvania,1999,35.3,4614,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Rhode Island,1999,21.5,243,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,South Carolina,1999,49.2,1901,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,South Dakota,1999,44.8,351,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Tennessee,1999,47.8,2677,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Texas,1999,37.6,7227,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,United States,1999,35.3,97860,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Utah,1999,33.4,650,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Vermont,1999,34.2,209,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Virginia,1999,33.2,2214,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Washington,1999,33.3,1914,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,West Virginia,1999,42,798,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Wisconsin,1999,35.6,1955,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Wyoming,1999,52.8,258,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Alabama,2000,47,2093,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Alaska,2000,64.5,343,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Arizona,2000,46.3,2326,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Arkansas,2000,46.5,1267,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,California,2000,26.5,8577,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Colorado,2000,42.6,1702,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Connecticut,2000,32.8,1175,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Delaware,2000,37.5,290,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,District of Columbia,2000,35.7,204,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Florida,2000,37.3,6267,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Georgia,2000,40.8,3103,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Hawaii,2000,28.2,343,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Idaho,2000,41.5,518,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Illinois,2000,32.8,4041,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Indiana,2000,35.4,2139,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Iowa,2000,33.4,1070,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Kansas,2000,38,1054,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Kentucky,2000,45.7,1838,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Louisiana,2000,45.9,2006,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Maine,2000,30.9,407,1
All Causes,All Causes,Vermont,2005,751.6,5066,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Maryland,2000,23.3,1182,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Massachusetts,2000,20.2,1357,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Michigan,2000,32.9,3220,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Minnesota,2000,34.3,1711,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Mississippi,2000,58.9,1653,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Missouri,2000,41.9,2398,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Montana,2000,53.9,495,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Nebraska,2000,35.3,640,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Nevada,2000,38.7,730,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,New Hampshire,2000,26.3,321,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,New Jersey,2000,26.7,2284,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,New Mexico,2000,56.8,995,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,New York,2000,22,4244,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,North Carolina,2000,44.7,3525,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,North Dakota,2000,35.3,248,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Ohio,2000,30.5,3492,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Oklahoma,2000,44.9,1566,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Oregon,2000,35.8,1248,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Pennsylvania,2000,35.2,4583,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Rhode Island,2000,20.5,235,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,South Carolina,2000,50,1974,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,South Dakota,2000,41.2,321,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Tennessee,2000,48.5,2743,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Texas,2000,37.6,7407,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,United States,2000,34.9,97900,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Utah,2000,34.2,665,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Vermont,2000,38.1,234,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Virginia,2000,35.4,2396,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Washington,2000,35.5,2049,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,West Virginia,2000,43.2,817,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Wisconsin,2000,38.9,2159,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Wyoming,2000,50.8,245,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Alabama,2001,49.5,2211,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Alaska,2001,60.5,345,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Arizona,2001,47.6,2475,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Arkansas,2001,46.5,1277,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,California,2001,24.5,8132,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Colorado,2001,41.6,1720,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Connecticut,2001,29.5,1056,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Delaware,2001,36.6,290,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,District of Columbia,2001,38.4,223,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Florida,2001,40.5,6969,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Georgia,2001,43.8,3396,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Hawaii,2001,29.8,372,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Idaho,2001,44.2,568,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Illinois,2001,32.8,4077,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Indiana,2001,35.8,2185,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Iowa,2001,32.5,1051,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Kansas,2001,41.4,1156,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Kentucky,2001,49.1,1990,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Louisiana,2001,46.5,2029,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Maine,2001,36.3,490,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Maryland,2001,25.8,1339,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Massachusetts,2001,22.2,1506,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Michigan,2001,33.3,3291,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Minnesota,2001,35.4,1797,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Mississippi,2001,56,1571,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Missouri,2001,42.5,2455,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Montana,2001,50.1,468,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Nebraska,2001,34.8,633,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Nevada,2001,37,739,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,New Hampshire,2001,30.3,374,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,New Jersey,2001,27.8,2405,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,New Mexico,2001,57.7,1020,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,New York,2001,25.7,4982,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,North Carolina,2001,42.6,3438,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,North Dakota,2001,33.9,238,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Ohio,2001,33.4,3857,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Oklahoma,2001,48.5,1700,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Oregon,2001,36.9,1313,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Pennsylvania,2001,34.6,4552,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Rhode Island,2001,25.3,293,1
All Causes,All Causes,Texas,2006,807.7,157150,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,South Carolina,2001,49,1960,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,South Dakota,2001,47.3,382,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Tennessee,2001,47.3,2709,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Texas,2001,39.7,7920,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,United States,2001,35.7,101537,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Utah,2001,32.5,643,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Vermont,2001,36.8,230,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Virginia,2001,35.2,2432,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Washington,2001,35.2,2072,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,West Virginia,2001,44.7,834,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Wisconsin,2001,37.5,2100,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Wyoming,2001,55.5,272,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Alabama,2002,49.6,2228,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Alaska,2002,59.2,346,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Arizona,2002,48.6,2577,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Arkansas,2002,47.6,1311,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,California,2002,30.1,10107,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Colorado,2002,43.1,1812,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Connecticut,2002,32.5,1182,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Delaware,2002,36.4,292,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,District of Columbia,2002,34.6,200,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Florida,2002,42,7396,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Georgia,2002,42.3,3333,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Hawaii,2002,30.9,393,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Idaho,2002,47.1,611,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Illinois,2002,33.8,4222,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Indiana,2002,34.9,2148,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Iowa,2002,33.6,1093,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Kansas,2002,40.8,1139,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Kentucky,2002,51.3,2090,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Louisiana,2002,48.1,2115,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Maine,2002,38.1,511,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Maryland,2002,25.2,1332,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Massachusetts,2002,20.7,1413,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Michigan,2002,33,3285,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Minnesota,2002,37.6,1928,1
All Causes,All Causes,Nevada,2010,795.4,19623,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Mississippi,2002,58.5,1642,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Missouri,2002,45.6,2641,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Montana,2002,55.6,524,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Nebraska,2002,41.7,762,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Nevada,2002,41.7,860,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,New Hampshire,2002,28.5,357,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,New Jersey,2002,29.8,2599,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,New Mexico,2002,61.4,1105,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,New York,2002,23.9,4663,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,North Carolina,2002,45.3,3700,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,North Dakota,2002,35.1,246,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Ohio,2002,35.8,4146,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Oklahoma,2002,44.9,1580,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Oregon,2002,38.4,1397,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Pennsylvania,2002,35.9,4728,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Rhode Island,2002,23.4,277,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,South Carolina,2002,48.7,1972,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,South Dakota,2002,43.5,348,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Tennessee,2002,47.7,2744,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Texas,2002,40.4,8232,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,United States,2002,37.1,106742,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Utah,2002,35.8,714,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Vermont,2002,37.8,240,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Virginia,2002,35.2,2479,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Washington,2002,36.8,2203,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,West Virginia,2002,50.9,956,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Wisconsin,2002,40.1,2274,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Wyoming,2002,58.1,289,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Alabama,2003,48.3,2179,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Alaska,2003,55.4,321,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Arizona,2003,49.8,2697,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Arkansas,2003,46.9,1304,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,California,2003,30.7,10471,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Colorado,2003,42.4,1806,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Connecticut,2003,30.2,1112,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Delaware,2003,34.9,287,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,District of Columbia,2003,40.8,233,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Florida,2003,44.2,7919,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Georgia,2003,44.2,3528,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Hawaii,2003,31.9,415,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Idaho,2003,45.6,605,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Illinois,2003,31.5,3942,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Indiana,2003,35.4,2196,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Iowa,2003,35.4,1164,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Kansas,2003,38.6,1089,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Kentucky,2003,55.2,2270,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Louisiana,2003,49.8,2208,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Maine,2003,38,516,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Maryland,2003,26.7,1432,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Massachusetts,2003,20.7,1421,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Michigan,2003,33,3324,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Minnesota,2003,36.7,1912,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Mississippi,2003,58.8,1656,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Missouri,2003,47.6,2786,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Montana,2003,54.8,518,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Nebraska,2003,38,696,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Nevada,2003,41.9,911,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,New Hampshire,2003,31.5,405,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,New Jersey,2003,27,2371,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,New Mexico,2003,67.3,1227,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,New York,2003,23.9,4708,1
"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,North Carolina,2003,46.3,3835,1
